As at 31 December 2021,1 year,1 - 5 years,Over 5 years,Open ended,Total
,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
,"684,083","1,065,387","23,510,022",-,"25,259,492"
,"54,296","84,395","111,945",-,"250,636"
,"1,226,633","185,156","113,681",-,"1,525,470"
,"836,074",-,-,-,"836,074"
,"333,294",-,-,-,"333,294"
,"1,048,650",-,-,-,"1,048,650"
,"658,260",-,-,-,"658,260"
Total,"4,841,290","1,334,938","23,735,648",-,"29,911,876"
(Gap)/surplus,"287,122","(10,061,182)","13,648,188","(3,957,240)","(83,112)"
Company,,,,,
,-,"3,000,000",-,-,"3,000,000"
,"76,960",-,-,-,"76,960"
Total liabilities,"76,960","3,000,000",-,-,"3,076,960"
Company,,,,,
,"39,347",-,-,-,"39,347"
,"180,357",-,-,-,"180,357"
,"10,497",-,-,-,"10,497"
Total assets,"230,201",-,-,-,"230,201"
(Gap)/surplus,"153,241","(3,000,000)",-,-,"(2,846,759)"
