"2,896,394
914,317","1,907,421
1,091,858"
"1,398,156
(419,447)
(64,392)","1,584,613
(475,383)
(17,372)"
"3,810,711","2,999,279"
"3,810,711
(2,999,279)","2,999,279
(2,898,661)"
"811,432
-","100,618
76,800"
"811,432","177,418"
"888,746
281,845","276,300
245,609"
"26,405
255,440","44,412
201,197"
"(359,158)","(344,491)"
"134,935","103,952"
"174,806
(52,442)","133,684
(40,105)"
"12,571
(309,459)
-
(47,020)
(216,611)
78,998","10,373
27,240
(165,036)
(14,687)
(66,717)
(229,243"
"811,433","177,418"
