"Ordinary life
KShs.‘000","Super-
annuation
KShs.‘000","General
business
KShs.‘000","Investments
KShs.‘000","Consolidation
adjustments
KShs.’000","Total
KShs.‘000"
"2,521,027","1,789,901","2,034,897",-,-,"6,345,825"
"(30,582)","(343,845)","(599,590)",-,-,"(974,017)"
"2,490,445","1,446,056","1,435,307",-,-,"5,371,808"
"9,065","113,481","145,464",-,-,"268,010"
"887,398","1,195,662","116,620","8,926","(24,838)","2,183,768"
"(1,515,000)","398,098","45,535","(912,214)",-,"(1,983,581)"
-,"(3,333)","(9,462)",-,-,"(12,795)"
"1,192",-,-,"96,184","(11,162)","86,214"
"(617,345)","1,703,908","298,157","(807,104)","(36,000)","541,616"
"1,873,100","3,149,964","1,733,464","(807,104)","(36,000)","5,913,424"
"(2,476,047)","(1,834,721)","(1,234,054)",-,-,"(5,544,822)"
"14,860","144,539","500,915",-,-,"660,314"
"(552,034)","(919,470)",-,-,-,"(1,471,504)"
"1,227,696",-,-,-,-,"1,227,696"
-,"4,134",-,-,-,"4,134"
"(1,785,525)","(2,605,518)","(733,139)",-,-,"(5,124,182)"
"(51,244)",-,"(13,338)","(1,905)",-,"(66,487)"
"(73,600)",-,-,"(118,263)",-,"(191,863)"
"(993,306)","(366,500)","(793,365)","(514,876)","7,655","(2,660,392)"
"(2,903,675)","(2,972,018)","(1,539,842)","(635,044)","7,655","(8,042,924)"
"(1,030,575)","177,946","193,622","(1,442,148)","(28,345)","(2,129,500)"
-,-,-,-,314,314
"(1,030,575)
273,129","177,946
(47,160)","193,403
(77,320)","(1,442,148)
1,111","(28,031)
-","(2,129,186)
149,760"
"(757,446)
-","130,786
-","116,302
-","(1,441,037)
-","(28,031)
-","(1,979,426)
-"
"(757,446)","130,786","116,302","(1,441,037)","(28,031)","(1,979,426)"
