Financial asset,Credit risk attributes
Loans to policyholders,"Assessed to have a mitigated credit risk
loans are issued based on the cumulative surrender values of
the policies thus no risk of default"
"Receivables arising
out of direct insurance
arrangements","Assessed as low credit risk
A significant portion of the retail insurance covers are sold on
a cash and carry basis thus low risk of default
Credit is extended to select corporate clients to a maximum
of 60 days assessed to have ability to settle the debt
There are no adverse economic changes expected to impact
the ability of the debtors to meet their obligations"
"Receivables arising out of
reinsurance arrangements","Assessed as low credit risk
Reinsurance accounts are contractually cleared on a
quarterly basis and incorporate premium payable and
commissions and claims recoverable thus low risk of default
The Group deals with reinsurers with a high external rating
thus have ability to settle the debt
There are no adverse economic changes expected to impact
the ability of the debtors to meet their obligations"
Other receivables,"Incorporates different counterparties including staff, agents
and others all of which are assessed independently. The
simplified approach has been applied."
