As at 31 December 2019,1 year,1 - 5 years,"Over 5
years",Total
Group,Kshs 000,Kshs 000,Kshs ‘000,Kshs ‘000
,,-,"-
1,174,415
8,505,633
1,249,509
972,237
-
-","3,003,845"
,,"1,074,092",,"5,236,041"
,,"4,769,922",,"14,617,229"
,,-,,"1,249,509"
,,-,,"972,237"
,,-,,"771,483"
,,"361,475",,"406,799"
,,"6,205,489","11,901,795","26,257,143"
,,"2,261,137","17,734,066
196,407
51,036
-
-
-","20,668,735"
,,"109,817",,"438,963"
,,"169,645",,"633,224"
,,-,,"938,571"
,,-,,"296,429"
,,-,,"544,762"
,,"2,540,599","17,981,509","23,520,684"
,,"3,664,890","(6,079,714)","2,736,459"
