For the year ended 31 December 2016:,"At start of year
KShs.‘000","(Charge)/credit to Income
statement
KShs.‘000","Transfer to current tax
KShs.‘000","At end of year
KShs.‘000"
,"4,079",658,-,"4,737"
,"(9,435)",-,-,"(9,435)"
,798,"17,319",-,"18,117"
,"174,783","(42,346)",-,"132,437"
,"3,234","36,043",-,"39,277"
,"(655,413)","(188,983)",-,"(844,396)"
,"(481,954)","(176,487)",-,"(658,441)"
,"3,234",-,-,"3,234"
,"170,225","12,496",-,"182,721"
,"(655,413)","(188,983)",-,"(844,396)"
