"SKSIR
LARENEG",Risk type,Description,"Potential
significant
impact"
,Operational,"Operational risk is the risk that there is a loss as a result of
inadequate or failed internal processes, people or systems and
external events. Operational risk includes:","All Group
businesses"
,,"Information and technology risk: the risk of obsolescence of
infrastructure, deficiency in integration, failures/inadequacies in
systems/networks and the loss of accuracy, confidentiality,
availability and integrity of data.",
,,"Going concern/business continuity risk: the risk that inadequate
processes, people, financial controls and resources exist to
continue business in the foreseeable future.",
,,"Legal risk: the risk that the Group will be exposed to contractual
obligations which have not been provided for.",
,,"Compliance risk: the risk of not complying with laws and
regulations, as well as investment management mandates.",
,,"Fraud risk: the risk of financial crime and unlawful conduct
occurring within the Group.",
