Group,1 Year,1-5 Years,>5 Years,Open ended,Total
,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000
,-,-,-,-,-
,"1,231,267","4,257,946","2,094,656","70,108","7,653,977"
,"2,688,520","3,400,419","6,505,834","109,275","12,704,048"
,-,-,-,"1,489,407","1,489,407"
,-,,,"802,471","802,471"
,"481,339",-,-,-,"481,339"
,"4,401,126","7,658,365","8,600,490","2,471,261","23,131,242"
Company,,,,,
,-,-,-,-,-
,"1,315,431",-,-,-,"1,315,431"
,"1,315,431",-,-,-,"1,315,431"
