Column,"Share
capital","Retained
earnings",Total
,KShs.'000,KShs.'000,KShs.'000
Year ended 31 December 2021:,,,
,"720,000","(1,959,072)","(1,239,072)"
,-,"(53,736)","(53,736)"
,"720,000","(2,012,808)","(1,292,808)"
Year ended 31 December 2020:,,,
,"720,000","(1,399,394)","(679,394)"
,-,"(559,678)","(559,678)"
,"720,000","(1,959,072)","(1,239,072)"
The notes set out on pages 106 to 223 form an integral part of these financial statements.,,,
