Life risk,Life savings,Non-life,Investments,Total
KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
"3,928,251
124,730
2,530,423
( 1,853,758)","184,844
-
-
-","2,823,187
120,038
226,719
( 86,926)","-
-
-
-","6,936,282
244,768
2,757,142
( 1,940,684)"
"4,729,646","184,844","3,083,018",-,"7,997,508"
"( 3,378,801)
734,294
( 552,620)
-
2,598,347
461,506
446,377
39,437
869,112
19,443,687
17,290,365
11,822
-","-
-
-
-
1,957,396
29,744
79,554
-
-
8,843,278
7,863,915
-
-","(1,669,391)
91,841
( 129,805)
( 27,309)
586,919
383,690
346,848
14,088
254,545
4,345,015
2,775,967
5,646
1,140,226","-
-
-
( 577,301)
-
-
-
-
( 534,858)
1,596,757
-
-
3,516,918","( 5,048,192)
826,135
( 682,425)
( 604,610)
5,142,662
874,940
872,779
53,525
588,799
34,228,737
27,930,247
17,468
4,657,144"
