Column,Range,Records,Range Total,Percentage
1,1 to 500,932,"153,558",.11 %
2,501 to 1000,271,"207,187",.14%
3,1001 to 5000,"1,986","5,222,122",3.62 %
4,5001 to 10000,227,"1,658,074",1.15%
5,10001 to 50000,277,"6,027,806",4.19%
"6
7","50001 to 100000
100001 to 500000","43
49","2,995,020
10,527,746","2.08%
7.31%"
"8
9","500001 to 1000000
1000001 to 2000000000","3
4","2,211,600
114,996,887","1.54%
79.86%"
,,"3,792","144,000,000",100.00%
