Group,"Neither past due nor
impaired","Past due but not
impaired",Impaired,Total
,KShs.’000,KShs.’000,KShs.’000,KShs.’000
,"15,139,063",,,"15,139,063"
,"554,983",-,-,"554,983"
,"550,622",-,"1,213,547","1,764,169"
,"926,591",-,"6,371","932,962"
,"798,792",-,-,"798,792"
,"2,497,436",-,-,"2,497,436"
,"20,467,487",-,"1,219,918","21,687,405"
Company:,,,,
,-,-,-,-
,"366,767",-,-,"366,767"
,"11,659",-,-,"11,659"
,"378,426",-,-,"378,426"
