Column,Ordinary life,"Super-
annuation","General business
Restated",Investments,"Consolidation
adjustments","Total
Restated"
,KShs.'000,KShs.’000,KShs.’000,KShs.'000,KShs.'000,KShs.'000
,"2,902,834","2,310,948","3,483,843",-,-,"8,697,625"
Premiums ceded to reinsurers,"(38,616)","(370,319)","(1,437,085)",-,-,"(1,846,020)"
Net premium Income,"2,864,218","1,940,629","2,046,758",-,-,"6,851,605"
Fee and commission income,"15,283","136,493","365,488",-,-,"517,264"
Investment income,"917,143","1,419,013","147,356","194,113","(203,748)","2,473,877"
Fair value (losses)/gains,"(244,066)","( 165,758)","37,534","11,428",-,"(360,862)"
Impairment of financial assets,-,-,-,-,-,-
Other operating revenue,"3,484",-,-,"2,362",-,"5,846"
,"691,844","1,389,748","550,378","207,903","( 203,748)","2,636,125"
,"3,556,062","3,330,377","2,597,136","207,903","(203,748)","9,487,730"
,"(2,161,476)","(2,118,535)","(2,225,238)",,,"(6,505,249)"
,"1,324","421,762","1,057,590",-,-,"1,480,676"
,"(1,011,220)","(861,482)",-,-,-,"(1,872,702)"
,"1,183,341",-,-,-,-,"1,183,341"
,-,"(17,591)",-,-,-,"(17,591)"
,"(1,988,031)","(2,575,846)","(1,167,648)",-,-,"(5,731,525)"
,"(110,233)",-,"(22,376)","(6,685)",-,"( 139,294)"
,"(22,427)",-,"(8,148)","(490,421)",-,"(520,996)"
,"(1,137,641)","(452,954)","(1,784,243)","(261,371)","11,598","(3,624,611)"
,"(3,258,332)","(3,028,800)","(2,982,415)","(758,477)","11,598","(10,016,426)"
,"297,730","301,577","(385,279)","(550,574)","(192,150)","(528,696)"
,"297,730","301,577","(385,279)","(550,574)","(192,150)","(528,696)"
,"(54,319)","(46,475)","(27,077)","28,255",-,"(99,616)"
,"243,411","255,102","(412,356)","(522,319)","(192,150)","(628,312)"
,-,-,-,-,-,-
,"243,411","255,102","(412,356)","(522,319)","(192,150)","(628,312)"
