For the year ended 31 December 2020,"Salary and terminal
benefits",Fees,Bonuses,Expense allowances,Total
,KShs ‘000,KShs ‘000,KShs’ 000,KShs ‘000,KShs ‘000
,"62,003","-
3,551
2,726
2,310
2,310
2,875
2,576
1,994
2,310
2,709",-,"-
-
-
-
-
-
-
-
-
-","62,003"
,-,,-,,"3,551"
,-,,-,,"2,726"
,-,,-,,"2,310"
,-,,-,,"2,310"
,-,,-,,"2,875"
,-,,-,,"2,576"
,-,,-,,"1,994"
,-,,-,,"2,310"
,-,,-,,"2,709"
,"62,003","23,361",-,-,"85,364"
For the year ended 31 December 2019,,,,,
,"54,052","-
3,842
2,738
886
886
3,435
2,738
2,754
2,311
2,613",-,"-
-
-
-
-
-
-
-
-
-","54,052"
,-,,-,,"3,842"
,-,,-,,"2,738"
,-,,-,,886
,-,,-,,886
,-,,-,,"3,435"
,-,,-,,"2,738"
,-,,-,,"2,754"
,-,,-,,"2,311"
,-,,-,,"2,612"
,"54,052","22,203",-,-,"76,255"
