"Ordinary life
KShs.‘000","Super-
annuation
KShs.‘000","General
business
KShs.‘000","Investments
KShs.‘000","Consolidation
adjustments
KShs.’000","Total
KShs.‘000"
"2,718,267","1,669,026","2,604,295",-,-,"6,991,588"
"(30,890)","(404,946)","(909,205)",-,-,"(1,345,041)"
"2,687,377","1,264,080","1,695,090",-,-,"5,646,547"
"11,543","121,258","192,263",-,-,"325,064"
"933,569","1,271,202","145,972","18,596","(19,052)","2,350,287"
"436,508","13,967","(31,187)","2,890",-,"422,178"
"2,624",-,-,-,-,"2,624"
"61,537",-,-,"90,842",-,"152,379"
"1,445,781","1,406,427","307,048","112,328","(19,052)","3,252,532"
"4,133,158","2,670,508","2,002,138","112,328","(19,052)","8,899,079"
"(2,364,465)","(1,818,793)","(1,349,177)",-,-,"(5,532,435)"
"4,367","106,699","322,664",-,-,"433,730"
"(583,079)","592,658",-,-,-,"9,579"
"267,011",-,-,-,-,"267,011"
-,"(14,308)",-,-,-,"(14,308)"
"(2,676,165)","(1,133,744)","(1,026,513)",-,-,"(4,836,423)"
"(72,122)",-,"(24,141)","(6,504)",-,"(102,767)"
"(153,400)",-,-,"(307,080)","14,260","(446,220)"
"(1,339,794)","(464,362)","(928,442)","(237,326)","6,341","(2,963,583)"
"(4,241,481)","(1,598,107)","(1,979,096)","(550,910)","20,601","(8,348,993)"
"(108,323)","1,072,401","23,042","(438,582)","1,549","550,086"
-,-,-,-,-,-
"(108,323)","1,072,401","23,042","(438,582)","1,549","550,086"
"36,911
(71,412)","(365,425)
706,976","(19,258)
3,784","(87,916)
(526,498)","-
1,549","(435,687)
114,399"
"-
(71,412)","-
706,976","-
3,784","-
(526,498)","-
1,549","-
114,399"
