Financial asset,Credit risk attributes
Cash and bank balances,"Assessed as low credit risk
• All cash is held with financial institutions with low risk of default.
• The cash is accessible whenever needed or on maturity of the deposits
• There are no adverse economic changes expected to impact the banks’ ability to meet the obligations when they fall
due"
Deposits with financial institutions,
"Government securities at amortised
cost","Assessed as low credit risk
• All government paper is with the Government of Kenya with low risk of default
• The Government is able to meet its obligation i.e coupons and redemptions when they fall due
• There are no adverse economic changes expected to impact the ability of the Government to meet its obligations
when they fall due"
Mortgage loans receivables,"Assessed as low credit risk
• All loans are secured on the mortgaged property thus low risk of default
• The collateral value covers the outstanding obligations
• There are no adverse economic changes expected to impact the value of the collateral or ability of the borrowers to
meet their obligations"
Loans to policyholders,"Assessed to have a mitigated credit risk
• loans are issued based on the cumulative surrender values of the policies thus no risk of default"
"Receivables arising out of direct
insurance arrangements","Assessed as low credit risk
• A significant portion of the retail insurance covers are sold on a cash and carry basis thus low risk of default
• Credit is extended to select corporate clients to a maximum of 60 days assessed to have ability to settle the debt
• There are no adverse economic changes expected to impact the ability of the debtors to meet their obligations"
"Receivables arising out of
reinsurance arrangements","Assessed as low credit risk
• Reinsurance accounts are contractually cleared on a quarterly basis and incorporate premium payable and
commissions and claims recoverable thus low risk of default
• The Group deals with reinsurers with a high external rating thus have ability to settle the debt
• There are no adverse economic changes expected to impact the ability of the debtors to meet their obligations"
Other receivables,"Incorporates different counterparties including staff, agents and others all of which are assessed independently. The
simplified approach has been applied."
