Column,Group,Column,Company,Column
,2017,2016,2017,2016
Note,KShs.’000,KShs.’000,KShs.’000,KShs.’000
4(a),"6,369,847","5,224,546",-,-
4(b),"(953,632)","(392,341)",-,-
,"5,416,215","4,832,205",-,-
5,"300,092","175,068",-,-
6(a),"2,285,310","2,418,532",-,"1,197"
6(b),"368,951","(450,341)",-,-
6(c),"(1,125,243)","(93,397)",-,-
6(d),"129,436","272,007","150,921","496,318"
,"1,958,546","2,321,869","150,921","497,515"
,"7,374,761","7,154,074","150,921","497,515"
7(a),"(5,408,384)","(4,193,984)",-,-
7(a),"583,321","204,498",-,-
7(a),"(809,065)","(1,205,314)",-,-
7(a),"1,085,819","600,054",-,-
7(a),"13,827","116,279",-,-
,"(4,534,482)","(4,478,467)",-,-
7(b),"(735,150)","(660,731)",-,-
7(c),"(10,463)","(28,009)","(10,463)","(28,009)"
8,"(1,843,601)","(1,669,594)","(235,083)","(206,238)"
,"(7,123,696)","(6,836,801)","(245,546)","(234,247)"
,"251,065","317,273","(94,625)","263,268"
14(b),"(4,107)",(220),-,-
,"246,958","317,053","(94,625)","263,268"
10,"(193,913)","(246,430)","23,985","6,831"
,"53,045","70,623","(70,640)","270,099"
,"30,814","90,252","(70,640)","270,009"
,"22,231","(19,629)",-,-
32,0.21,0.63,(0.49),1.88
32,0.21,0.63,(0.49),1.88
