Column,"Total
2000",Column
,"473,161",
,"434,139
79,622",
,"513,761",
,"75,289
43,453
132,038",
,"250,780",
,"262,981
(155,649)
23,827",
,"131,159
6,999",
,"124,160",
"(4,594) - - -
(169,811) - - -
- - - -","(4,594)
(169,811)
-","-
-
(16,017)"
,"(50,245)",
"758,502 7,081 76,984 24,045
- - - -","866,612
-","830,667
3,396"
,"816,367
297,000
-",
,"1,113,367",
