Column,2021,Column,Column,2020,Column,Column
,Gross,Reinsurance,Net,Gross,Reinsurance,Net
,KShs.'000,KShs.’000,KShs.’000,KShs.’000,KShs.'000,KShs.'000
,"1,373,344","627,470","745,874","947,676","258,013","689,663"
,"(2,881,690)","(1,164,193)","(1,717,497)","(1,799,569)","(688,133)","(1,111,437)"
Movement in liabilities,,,,,,
,"280,393","38,708","241,685","42,995","26,739","16,256"
,"27,403","6,087","21,316","(5,128)","(2,258)","(2,870)"
,"3,347,431","1,090,879","2,256,552","2,187,371","1,033,109","1,154,262"
,-,-,-,-,-,-
,"2,146,881","598,951","1,547,930","1,373,344","627,470","745,874"
,"1,617,240","476,112","1,141,128","1,151,499","549,352","602,147"
,"27,403","6,087","21,316",-,-,-
,"502,238","116,752","385,486","221,845","78,118","143,727"
,"2,146,881","598,951","1,547,930","1,373,344","627,470","745,874"
