2024,Life risk,Non-life,Total
,KShs.’000’,KShs.’000’,KShs.’000’
,"( 31,536)
33,112
(1,333,580)
(2,225,850)","-
-
(231,596)
-","(31,536)
33,112
(1,565,176)
(2,225,850)"
,"(3,557,854)
1,959
( 19,789)","(231,596)
-
60,152","(3,789,450)
1,959
40,363"
,"( 17,830)
1,147,313","60,152
378,344","42,322
1,525,657"
,"(3,557,854)
(3,557,854)","(231,596)
(231,596)","(3,789,450)
(3,789,450)"
