Company,2021,2020
,KShs.'000,Kshs. ‘000
Assets,Carrying value,Carrying value
,"89,696","89,564"
,"39,347","191,197"
,"190,854","898,595"
Liabilities,,
,"(3,000,000)","(2,976,861)"
,"(76,960)","(684,653)"
,"(2,757,063)","(2,482,158)"
