At 31 December 2021,Carrying amount,Contractual cashflows (undiscounted),Column,Column
,,< 1 year,1 - 5 years,> 5 years
,,KShs ‘000,KShs ‘000,KShs ‘000
Assets,,,,
,"25,259,492","684,083","1,065,387","23,510,022"
,"1,048,650","1,048,650",-,-
,"658,260","658,260",-,-
Total,"26,966,402","2,390,993","1,065,387","23,510,022"
Liabilities,,,,
,"3,000,000","354,648","3,315,782",-
,"101,209","45,079","180,314",-
Total,"3,101,209","399,727","3,496,096",-
