"2007
KShs’000"
"2,070,433
(236,763)"
"1,833,670"
"422,225
1,394
59,015
42,480"
"525,114"
"399,073
477,151
684
1,424,310
(146,042)"
"2,155,176"
"203,608
(2,536)"
"201,072"
4.19
"76,800"
