"2013
Deposit
Insurance admin
Total contracts contracts
KShs.‘000 KShs.‘000 KShs.‘000
5,348,089 5,101,827 246,262"
"2,240,228 2,059,915 180,313
(47,430) (41,347) (6,083)"
"2,192,798 2,018,568 174,230"
"7,540,887 7,120,395 420,492"
"(2,258,150) (2,142,664) (115,486)
(1,444,746) (1,424,028) (20,718)
- - -
(422,094) (422,094) -"
"(4,124,990) (3,988,786) (136,204)"
"3,415,897 3,131,609 284,288
12,776,351 11,704,718 1,071,633
101,809 101,809 -"
"16,294,057 14,938,136 1,355,921"
