(i,) Expected recognition of contractual service margin under VFA,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
Life insurance,,,1 year or,1–2 years,,2–3 years,,3–4 years,,4–5 years,,5–10 years,,,than 10
,ife insurance,,less,,1–2 years,,2–3 years,,3–4 years,,4–5 years,,5–10 years,,years
,,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’
O,,"486,840",,"468,371",,"439,655",,"386,577",,"315,958",,"242,588",,"34,806",
,pening balance,,"486,840",,"468,371",,"439,655",,"386,577",,"315,958",,"242,588",,"34,806"
"A
t",llocation of investment return to contracts under,"74,810",,"88,330",,"72,727",,"60,034",,"40,704",,"69,424",,"13,176",
,he variable fee approach,,"74,810",,"88,330",,"72,727",,"60,034",,"40,704",,"69,424",,"13,176"
R,ecognised in statement of profit or loss,,"( 93,279)",,"(117,046)",,"(125,805)",,"(130,653)",,"(114,074)",,"(277,206)",,"(47,982)"
C,,"468,371",,"439,655",,"386,577",,"315,958",,"242,588",,"34,806",,-,
,losing balance,,"468,371",,"439,655",,"386,577",,"315,958",,"242,588",,"34,806",,-
(i,i) Expected recognition of contractual service margin Under GMM,,,,,,,,,,,,,,
Life insurance,,,1 year or,1–2 years,,2–3 years,,3–4 years,,4–5 years,,5–10 years,,,than 10
,ife insurance,,less,,1–2 years,,2–3 years,,3–4 years,,4–5 years,,5–10 years,,years
,,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’
E,,"1,712,578",,"1,561,978",,"1,422,237",,"1,305,571",,"1,219,432",,"1,130,995",,"722,569",
,xpected opening balance of CSM,,"1,712,578",,"1,561,978",,"1,422,237",,"1,305,571",,"1,219,432",,"1,130,995",,"722,569"
"A
m",ccretion of interest on liabilities under the general,"214,856",,"196,061",,"193,910",,"204,480",,"185,044",,"708,683",,"2,680,153",
,odel,,"214,856",,"196,061",,"193,910",,"204,480",,"185,044",,"708,683",,"2,680,153"
R,ecognised in statement of profit or loss,,"( 365,456)",,"( 335,802)",,"( 310,576)",,"( 290,619)",,"( 273,481)",,"(1,117,109)",,"(3,402,722)"
E,,"1,561,978",,"1,422,237",,"1,305,571",,"1,219,432",,"1,130,995",,"722,569",,-,
,xpected closing balance of CSM,,,,,,,,,,,,,,
