KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000
"84,372",-,"46,338","66,969","197,679"
"1,040,228","1,176,775","104,173","18,596","2,339,772"
"73,568",-,-,"322,314","395,882"
"72,122",-,"24,141","43,573","139,836"
