RESOLUTIONS,FOR,AGAINST,WITHHELD
"1. THAT the Balance Sheet and Accounts for the year ended 31 December 2021 together
with the reports of the Chairman, the Group Chief Executive, the Directors, the Auditor
and the Statutory Actuary are hereby approved and adopted.",,,
2. THAT Dr Grace Mwai is hereby elected a Director of the Company.,,,
3. THAT Mrs Rose Agutu is hereby elected a Director of the Company.,,,
4. THAT Dr Tobias Doyer is hereby elected a Director of the Company.,,,
"5. THAT in accordance with the provisions of Section 769 of the Companies Act, 2015 the
following Directors, being members of the Audit, Actuarial, Risk and Compliance Com-
mittee are hereby elected to continue serving as members of the Committee:
a. Freda Britz (Chair Person)
b. Nelius Bezuidenhout
c. Cornie Foord
d. Rose Agutu",,,
6. THAT the Directors’ remuneration is hereby approved.,,,
