Column,Column,Group,Column,Company,Column
,,2021,"2020
*Restated",2021,2020
,Note,KShs.'000,KShs.'000,KShs.'000,KShs.'000
,4(a),"12,042,018","8,697,625",-,-
,4(b),"( 2,807,179)","(1,846,020)",-,-
Net premium income,,"9,234,839","6,851,605",-,-
,5,"575,108","458,076",-,-
,6(a),"2,892,939","2,533,065","1,434,921","181,368"
,6(b),"(357,100)","(360,862)",-,-
,6(c),"73,070","5,846","72,186","2,379"
,,"3,184,017","2,636,125","1,507,107","183,747"
Total revenue,,"12,418,856","9,487,730","1,507,107","183,747"
,7(a),"(8,418,226)","(6,505,249)",-,-
,7(a),"1,543,251","1,480,676",-,-
,7(a),"(3,136,843)","(1,872,702)",-,
,7(a),"1,139,327","1,183,341",-,-
,7(a),"256,510","(17,591)",-,-
Net benefits and claims,,"(8,615,981)","(5,731,525)",-,-
,7(b),"(1,338,545)","(1,142,833)",-,-
,7(c),"(11,061)",-,"(11,061)",-
,8,"(2,348,088)","(2,603,293)","(246,199)","( 243,059)"
,14,-,"(17,779)","(801,497)","(4,863)"
,23,"(518,863)","(520,996)","(496,854)","(491,985)"
"Total benefits, claims and other expenses",,"(12,832,538)","(10,016,426)","(1,555,611)","(739,907)"
Loss before tax,,"(413,682)","(528,696)","(48,504)","(556,160)"
,10(a),"(128,677)","(99,616)","(5,232)","(3,518)"
Loss for the year after tax,,"(542,359)","(628,312)","(53,736)","(559,678)"
Loss attributable to:,,,,,
,,"(401,289)","(512,182)","(53,736)","(559,678)"
,,"(141,070)","(116,130)",-,-
Loss for the year after tax,,"(542,359)","(628,312)","(53,736)","(559,678)"
Earnings/(loss) per share:,,,,,
,30,(2.79),(3.55),(0.37),(3.89)
,30,(2.79),(3.55),(0.37),(3.89)
"*See note 34 for restatements.
The notes set out on pages 106 to 223 form an integral part of these financial statements.",,,,,
