Note,2020,2019
,KShs. ‘000,KShs. ‘000
,,"(1,680,729)"
,,"(123,923)
(106,825)
254,789"
,,"(1,656,688)"
,,"(1,663)"
,,"(153,775)"
,,"(42,241)"
,,"(802,957)"
,,-
,,-
,,"96,141"
,,"80,680"
,,"2,173,468"
,,"(61,755)"
,,"1,287,898"
