At 31 December 2019:,"Amortised
cost","Fair value
through profit
or loss",Tot
,Kshs. ‘000,Kshs. ‘000,Kshs. ‘00
,-,"1,933,402
18,681,638
53,695
544,763","1,933,40"
,-,,"18,681,63"
,-,,"53,69"
,-,,"544,76"
,-,"21,213,499","21,213,49"
