Corporate bond,Loans,"Insurance
receivables","Receivables and
other financial
assets","Deposits
with financial
institutions","Cash and bank
balances",Total
KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000
-,"131,333","1,396,989",-,-,"2,657","1,530,979"
-,-,"(86,129)",-,-,-,"(86,129)"
-,-,-,-,-,-,-
-,"131,333","1,310,860",-,-,"2,657","1,442,193"
-,"6,371","1,282,533",-,-,"3,875","1,292,779"
-,"124,962","114,456",-,-,"(1,218)","238,200"
-,-,-,-,-,-,-
-,"131,333","1,396,989",-,-,"2,657","1,530,979"
