"2012
Insurance Deposit admin
Total contracts contracts
KShs.‘000 KShs.‘000 KShs.‘000
5,461,387 5,125,634 335,753"
"2,271,358 2,053,238 218,120
(37,680) (32,399) (5,281)"
"2,233,678 2,020,839 212,839"
"7,695,065 7,146,473 548,592"
"(1,648,111) (1,500,428) (147,683)
(1,309,130) (1,298,307) (10,823)
- - -
(326,770) (326,770) -"
"(3,284,011) (3,125,505) (158,506)"
"4,411,054 4,020,968 390,086
8,365,297 7,683,750 681,547
197,348 197,348 -"
"12,973,699 11,902,066 1,071,633"
