Maturity profile of mortgage loans,Group,Column
,2021,2020
,KShs.'000,Kshs. ‘000
Loans maturing:,,
,"54,868","48,094"
,"36,003","20,878"
,"32,985","58,667"
,"123,856","127,639"
b) Policy loans,,
,"254,390","309,791"
,"93,082","88,684"
,"(129,101)","(167,590)"
,"13,998","23,505"
,"232,369","254,390"
Provision for impairment:,,
,"(57,109)","(57,109)"
,"(20,284)",-
,"(77,393)","(57,109)"
,"154,976","197,281"
Maturity profile of Policy loans,,
Loans maturing:,,
,"105,018","114,064"
,"48,391","71,854"
,"78,960","68,472"
,"232,369","254,390"
c) Insurance premium finance loans (IPF),,
,"21,464","23,139"
,-,"(1,675)"
,"21,464","21,464"
Provision for impairment:,,
,"(17,862)",-
,"(3,602)","(17,862)"
,"(21,464)","(17,862)"
,-,"3,602"
