Column,2021,Column,Column,2020,Column,Column
,Total,"Insurance and
Investment
contracts","Deposit admin
contracts",Total,"Insurance and
Investment
contracts","Deposit admin
contracts"
,KShs.'000,KShs.’000,,KShs.’000,,KShs.'000
(i) Analysis of movement in policy liabilities:,,,,,,
,"7,438,696","6,284,016","1,154,680","5,501,501","4,804,847","696,654"
,"2,635,450","2,440,809","194,641","2,218,165","2,068,460","149,705"
,"(53,006)","(43,278)","(9,728)","(51,582)","(45,967)","(5,615)"
,"2,582,444","2,397,531","184,913","2,166,583","2,022,493","144,090"
,"10,021,140","8,681,547","1,339,593","7,668,084","6,827,341","840,743"
,"(4,615,284)","(4,355,422)","(259,862)","(4,258,988)","(3,856,926)","(402,062)"
,"(1,703,899)","(1,653,302)","(50,597)","(1,687,928)","(1,664,155)","(23,773)"
,"(289,831)","(289,831)",-,"(100,794)","(100,794)",-
,"(641,986)","(641,986)",-,"(498,513)","(498,513)",-
,"(7,251,000)","(6,940,541)","(310,459)","(6,546,223)","(6,120,388)","(425,835)"
,"2,770,140","1,741,006","1,029,134","1,121,860","706,952","414,908"
,"20,894,456","19,347,828","1,546,628","19,790,186","18,658,467","1,131,719"
,"189,714","173,201","16,513",-,-,-
,"256,510","256,510",-,"(17,591)","(17,591)",-
,"24,110,820","21,518,545","2,592,275","20,894,455","19,347,828","1,546,627"
