Column,Group,Column,Company,Column
,2024,2023,2024,2023
"Note
10(a)
10(b)
11(a)
9
12(a)
27
14
14
14
13
17
16
8(b)
18
19
14
20
31",KShs.‘000,"KShs.‘000
531,750
64,791
2,479,580
8,540
-
92,181
439,384
26,571,319
1,095,918
86,178
1,153,349
90,108
227,787
255,201
239,967
1,561,335
477,955
-",KShs.‘000,"KShs.‘000
-
-
-
-
1,451,938
-
-
-
-
-
-
90,108
1,325
-
29,260
17,754
6,372
-"
,"472,664",,-,
,"33,736",,-,
,"2,399,680",,-,
,"1,087",,-,
,-,,"1,138,859",
,"93,984",,-,
,"155,557",,-,
,"28,864,569",,-,
,"1,109,562",,-,
,"74,645",,-,
,"423,411",,-,
,"82,055",,"82,055",
,"269,909",,"2,450",
,-,,-,
,"298,148",,"30,863",
,"1,540,386",,-,
,"467,210",,"56,475",
,"2,879,329",,-,
,"39,165,932","35,375,343","1,310,702","1,596,757"
