Name,Meetings Attended
Dr. John P. N. Simba,4/4
Dr Patrick Tumbo,4/4
Julius Nyakia Magabe,4/4
Rohan Patel,4/4
Susan Mudhune,2/2
Freda Britz,4/4
Nelius Bezuidenhout,3/4
Cornelius Foord,4/4
Dr Grace Mwai,4/4
Rose Agutu,4/4
