Column,Column,2021,2020
,Note,KShs.'000,"KShs.'000
Restated"
,,"(413,682)","(528,696)"
Adjusted for:,,,
Amortisation of intangible assets,11,"16,730","20,442"
,12(a),"85,225","78,850"
,12(c),"31,910","52,164"
,12(c),"33,913","41,418"
,7(c),"11,061",-
,6(a),"(2,719,379)","(2,222,567)"
,6(b),"71,000","85,737"
,6(b),"299,719","275,125"
,6(a),"(80,745)","(116,645)"
,6(a),"(92,815)","(193,853)"
,6(b),"(13,619)",-
,14(b),-,"17,779"
,6(c),-,"(5,846)"
,23,"86,517","213,651"
,23,"398,432","265,927"
,,"(2,285,733)","(2,016,514)"
Changes in working capital:,,,
,,"2,944,254","1,115,029"
,,"1,045,648","414,909"
,,"(164,818)","(609,119)"
,,"168,545","(66,048)"
,,"117,966","582,251"
,,"(45,492)","(74,704)"
,,"(7,980)","119,189"
,,"77,710","122,284"
,,"(142,097)","128,102"
,,(50),-
,,"6,606","(24,327)"
Cash utilised in operations,,"1,714,559","(308,948)"
