"2012
KShs.’000
5,440,654
(315,020)",Column,"2012
KShs.’000
-
-"
"5,125,634","3,300,055",-
"75,866
1,244,574
879,863
594,904","84,589
697,015
(895,668)
1,055,534","-
17,335
-
508,540"
"2,795,207","941,470","525,875"
"7,920,841","4,241,525","525,875"
"(1,674,761)
174,333
(1,751,861)
(2,290,403)
21,297","(1,408,415)
154,142
(290,695)
(368,150)
36,643","-
-
-
-
-"
"(5,521,395)
(40,210)
(669,678)
(856,582)
-","(1,876,475)
(390,741)
(690,346)
(733,046)
-","-
(40,210)
-
(135,700)
(41,186)"
"(7,087,865)","(3,690,608)","(217,096)"
"832,976
1,670","550,917
1,518","308,779
-"
"834,646
(136,375)","552,435
(109,030)","308,779
(87,658)"
"698,271","443,405","221,121"
"698,271","443,405","221,121"
"7.27
7.27",,"2.30
2.30"
