Country of incorporation and domicile,Primary business operation,% Held
Kenya,Life insurance,100
Kenya,General insurance,67.64
Kenya,Investment,100
Kenya,Investment Managers,100
Kenya,Investment in Properties (dormant),100
Kenya,Dealing with bottled water (dormant),100
