Member,Directorship Status,"Number of Meetings
scheduled in 2024"
Rohan Patel (Chairman),Non-Executive Director,4/4
Nelius Bezuidenhout,Non-Executive Director,4/4
Dr John PN Simba,Board Chairman,4/4
Dr Grace Mwai,Independent & Non-Executive,4/4
