(a) Group,Note,2024,2023
,,KShs.’000,KShs.’000
,,"1,661,131",
,,"9,266",
,,"61,164",
,,"44,174",
,,"19,480",
,,"9,753",
,,"(4,000,801)",
,,"(3,054,916)",
,,"15,000",
,,"( 210,495)",
,,723,
,,"( 30,197)",
,,"( 211,414)",
,,"734,812",
,,"(4,952,320)",
,,"65,211",
,,"( 108,110)",
,,"2,387,671",
,,"( 34,658)",
,,"306,015",
,,"(2,336,191)",
