"2010
KShs.‘000
567,327",Column,"2010
KShs. ‘000
9,003"
"326,996
(21,097)","91,703
(25,339)","1,772
(132)"
"305,899
(8,395)","66,364
(7,195)","1,640
-"
"297,504","59,169","1,640"
"864,831","567,327","10,643"
"2,941,670
(2,076,839)","2,290,078
(1,722,751)","16,705
(6,062)"
"864,831","567,327","10,643"
"106,183
116,998","119,959
120,185","10,235
1,772"
