Sum assured,Number of lives,Column,Before Reinsurance,Column,After reinsurance,Column
,2021,2020,2021,2020,2021,2020
Kshs’000,,,,,,
,"1,917","1,958","127,451","126,823","127,451","126,823"
,"1,117",979,"236,342","206,675","236,342","206,675"
,529,452,"192,316","163,931","192,316","163,931"
,301,263,"154,662","135,027","154,662","135,027"
,174,155,"116,089","103,270","116,089","103,270"
,449,348,"592,553","437,233","592,553","437,233"
Total,"4,487","4,155","1,419,413","1,172,959","1,419,413","1,172,959"
