Life Insurance,Column,1 year or less,Column,1–2 years,Column,2–3 years,Column,3–4 years,Column,4–5 years,Column,5–10 years,Column,Column,than 10
,Life Insurance,,1 year or less,,1–2 years,,2–3 years,,3–4 years,,4–5 years,,5–10 years,,years
,,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’,,KShs.‘000’
,,"(166,122)",,"(167,405)",,"(152,485)",,"(138,351)",,"(126,613)",,"(113,308)",,"(49,290)",
,Expected opening balance of CSM,,"(166,122)",,"(167,405)",,"(152,485)",,"(138,351)",,"(126,613)",,"(113,308)",,"(49,290)"
,Accretion of interest on liabilities under the,"( 18,479)",,"(18,313)",,"( 17,425)",,"( 18,891)",,"( 16,317)",,"( 60,799)",,"(34,004)",
,general model,,"( 18,479)",,"(18,313)",,"( 17,425)",,"( 18,891)",,"( 16,317)",,"( 60,799)",,"(34,004)"
,Recognised in Statement of profit or loss,,"17,196",,"33,233",,"31,559",,"30,629",,"29,622",,"124,817",,"83,294"
,,"(167,405)",,"(152,485)",,"(138,351)",,"(126,613)",,"(113,308)",,"( 49,290)",,-,
,Expected closing balance of CSM,,,,,,,,,,,,,,
