Note,2024,2023
,KShs. ‘000,KShs. ‘000
,"(1,159,345)","( 32,020)"
"12(a)
20
31",,"366,045
25,163
1,648,082"
,"101,749",
,( 723),
,"2,039,290",
,"( 132,720)",
20,"2,007,596","2,039,290"
30(b),"254,078","(119,895)"
,"900,000","150,000"
,"4,971","3,484"
,"(1,700)",-
,"903,271","153,484"
22,,"( 14,400)"
,"(1,125,000)",
,"(1,125,000)","( 14,400)"
20,,"19,189
4,937"
,"32,349",
,"24,126",
20,,"24,126"
,"56,475",
