Number,Effective date,Executive summary
Annual improvements cycle 2015-2017,"Annual periods beginning on or
after 1 January 2019","These amendments include minor changes to:
IFRS 3, ‘Business combination’ - a company remeasures its previously held interest in a joint operation
when it obtains control of the business.
IFRS 11,’Joint arrangements,’ - a company does not remeasure its previously held interest in a joint
operation when it obtains joint control of the business.
IAS 12,’ Income taxes’ - The amendment clarified that the income tax consequences of dividends on
financial instruments classified as equity should be recognised according to where the past transactions
or events that generated distributable profits were recognised.
IAS 23,’ Borrowing costs’ - a company treats as part of general borrowings any borrowing originally
made to develop an asset when the asset is ready for its intended use or sale."
"IFRIC 23, ‘Uncertainty over income tax treatments’","Annual periods beginning on or
after 1 January 2019
Published 7 June 2017)","IFRIC 23 provides a framework to consider, recognise and measure the accounting impact of tax
uncertainties. The Interpretation provides specific guidance in several areas where previously IAS 12
was silent. The Interpretation also explains when to reconsider the accounting for a tax uncertainty. Most
entities will have developed a model to account for tax uncertainties in the absence of specific guidance
in IAS 12. These models might, in some circumstances, be inconsistent with IFRIC 23 and the impact on
tax accounting could be material. Management should assess the existing models against the specific
guidance in the Interpretation and consider the impact on income tax accounting."
"IFRS 17, ‘Insurance contracts’","Annual periods beginning on or
after 1 January 2021
Early application is permitted
for entities that apply IFRS 9,
‘Financial Instruments,’ and IFRS
15, ‘Revenue from Contracts
with Customers,’ at or before
the date of initial application of
IFRS 17.
(published May 2017)","The IASB issued IFRS 17, ‘Insurance contracts,’ and thereby started a new epoch of accounting for
insurers. Whereas the current standard, IFRS 4, allows insurers to use their local GAAP, IFRS 17 defines
clear and consistent rules that will significantly increase the comparability of financial statements. For
insurers, the transition to IFRS 17 will have an impact on financial statements and on key performance
indicators.
Under IFRS 17, the general model requires entities to measure an insurance contract at initial
recognition at the total of the fulfilment cash flows (comprising the estimated future cash flows, an
adjustment to reflect the time value of money and an explicit risk adjustment for non-financial risk)
and the contractual service margin. The fulfilment cash flows are remeasured on a current basis each
reporting period. The unearned profit (contractual service margin) is recognised over the coverage
period.
Aside from this general model, the standard provides, as a simplification, the premium allocation
approach. This simplified approach is applicable for certain types of contract, including those with a
coverage period of one year or less.
For insurance contracts with direct participation features, the variable fee approach applies. The variable
fee approach is a variation on the general model. When applying the variable fee approach, the entity’s
share of the fair value changes of the underlying items is included in the contractual service margin. As a
consequence, the fair value changes are not recognised in profit or loss in the period in which they occur
but over the remaining life of the contract."
