Column,Gross provisions,"Reinsurance
assets",Net
,KShs.’000,KShs.’000,KShs.’000
Long-term business,,,
Insurance contracts liabilities,"9,884,559","(93,205)","9,791,354"
Investment contracts liabilities,"8,269,515",-,"8,269,515"
Deposit administration contracts,"1,434,573",-,"1,434,573"
