Name,Directorship,Role
Dr. John PN Simba,Non-executive and Chairman,Kenyan
"Dr. Patrick Tumbo
Julius Nyakia Magabe
Rohan Baloobhai Patel","Executive
Non–executive
Non–executive","Kenyan
Tanzanian
Kenyan"
"Susan Mudhune
Nelius Bezuidenhout","Non–executive
Non–executive","Kenyan
South African"
Cornie Foord,Non–executive,South African
Freda Britz,Non–executive,Kenyan
Dr. Grace Mirigo Mwai,Non–executive - Appointed on 9th May 2019,Kenyan
Rose Agutu,Non–executive - Appointed on 9th May 2019,Kenyan
