"SKSIR
LARENEG",Risk type,Description,"Potential significant
impact"
,Operational,"Operational risk is the risk that there is a loss as a result of inadequate or failed internal processes, people or systems and
external events. Operational risk includes:",All Group businesses
,,"Information and technology risk: the risk of obsolescence of infrastructure, deficiency in integration, failures/inadequacies
in systems/networks and the loss of accuracy, confidentiality, availability and integrity of data.",
,,"Going concern/business continuity risk: the risk that inadequate processes, people, financial controls and resources exist
to continue business in the foreseeable future.",
,,Legal risk: the risk that the Group will be exposed to contractual obligations which have not been provided for.,
,,"Compliance risk: the risk of not complying with laws and regulations, as well as investment management mandates.",
,,Fraud risk: the risk of financial crime and unlawful conduct occurring within the Group.,
,Taxation,"Taxation risk is the risk of financial loss due to changes in tax legislation that result in the actual tax on shareholders’ fund
earnings being higher than expected, with a corresponding reduction in return on Group Embedded Value; or the actual
policyholder tax being higher than that assumed in the determination of premium rates and guaranteed policy benefits.",All Group businesses
,Reputational,"Reputational risk is the risk that the actions of a business (e.g. the treatment of clients, employment equity and social
responsibility) harm its reputation and brand.",All Group businesses
,Legislation,"Legislation risk is the risk that unanticipated new acts or regulations will result in the need to change business practices
that may lead to financial loss.",All Group businesses
,Strategic,Strategic risk is the risk that the Group’s strategy is inappropriate or that the Group is unable to implement its strategy.,All Group businesses
