UNGC Pillar,UNGC Principles
Human rights,"Principle 1: Businesses should support and respect the protection of internationally proclaimed human rights.
We are committed to upholding and respecting international human rights across our sphere of influence in alignment with the UNGC’s human rights principles."
,"Principle 2: Businesses should make sure they are not complicit in human rights abuses.
We are dedicated to upholding human rights across all areas of operations to identify and address potential human rights risks, ensuring compliance and proactive
protection."
Labour,"Principle 3: Businesses should uphold the freedom of association and effective recognition of the right to collective bargaining.
We uphold employees’ rights to freedom of association in line with local labour laws. The Company is committed to creating a workplace that supports open, honest
and constructive dialogue among management, employees, and union representatives, promoting effective and respectful labour relations."
Environment,"Principle 7: Businesses should support a precautionary approach to environmental challenges.
Our ESG policy applies the precautionary principle and underscores the commitment to achieving world-class environmental performance sustainably."
,"Principle 8: Businesses should undertake initiatives to promote greater environmental responsibility.
We are committed to advancing environmental responsibility through a range of initiatives, and our efforts focus on optimising the addressing of climate-related risks
and opportunities. This approach reflects our commitment to sustainable practices and proactive action in mitigating environmental challenges."
,"Principle 9: Businesses should encourage the development and diffusion of environmentally friendly technologies.
We are committed to exploring the development and diffusion of environmentally friendly technologies to mitigate environmental challenges."
Anti-corruption,
