Column,Column,Resolution,For,Against
,ORDINARY BUSINESS,,,
1.,"I adopt the balance sheet and the financial statements for the
year ended 31 December 2020 and the Reports of the Directors
and Auditors thereon.",2,,
2.,Re-election of Directors,,,
,"I re- appoint Felgona Omollo who retires by rotation in
accordance with Article 100 of the Articles of Association of the
Company and being eligible, offers herself for re-election.",4(a),,
,"I re- appoint Samson Korir who retires by rotation in accordance
with Article100 of the Articles of Association of the Company
and being eligible, offers herself for re-election.",4(b),,
,"I re-appoint Dr. Richard Korir who having attained the age of 70
years retires as a Director and being eligible offers himself for
re-election",4(c),,
3.,"In accordance with the provisions of Section 769 of the
Companies Act, 2015, I appoint Directors: Dorcas Muli, Felgona
Omollo, Samson Korir and Felix Mutai being members of the
Board Audit Committee be elected to continue to serve as
members of the said Committee.",5,,
4.,"I approve the Directors’ remuneration report for the year ended
31st December 2020.",6,,
5.,"I approve the appointment of KPMG as the Auditors of
the Company authorize the Directors to fix the Auditors’
remuneration for the ensuing financial year.",7,,
