CONDENSED STATEMENT OF CHANGES IN EQUITY,Column,Column,Column,Column
,"Share
Capital
KShs’000","Retained
Earnings
KShs’000","Proposed
Dividend
KShs’000","Total
KShs’000"
Balance at 1 January 2021,"24,000","166,781",-,"190,781"
Total recognized loss to June 2021,-,"(8,597)",-,"(8,597)"
Balance as at 30th June 2021,"24,000","158,184",-,"182,184"
Balance at 1 January 2022,"24,000","158,290",,"182,290"
Total recognized profit for 2022,,"5,917",,"5,917"
Balance as at 30th June 2022,"24,000","164,207",,"188,207"
