Column,Column,Resolution,For,Against
,ORDINARY BUSINESS,,,
1,"To receive, consider and adopt the balance sheet and the
financial statements for the year ended 31 December
2016 and the Reports of the Directors and Auditors
thereon",2,,
2.,"To note that the Directors do not recommend payment of
dividend to shareholders for the year ended 31 December
2016.",3,,
3.,Re-election ofDirectors,4,,
4.,"Appointment of Directors as members of the Board Audit
Committee",5,,
5.,"To approve the Directors’ remuneration for the year
ended 31st December 2016",6,,
6.,Re-appointment of auditors,7,,
,SPECIALBUSINESS,,,
7.,Special resolution to change the name of the Company,9,,
