Column,Column,Resolution,For,Against
,ORDINARY BUSINESS,,,
1.,"I adopt the balance sheet and the financial statements for the
year ended 31 December 2022 and the Reports of the Directors
and Auditors thereon.",2,,
2.,"I approve a final dividend of KShs 2.50/= per ordinary share
for the year ended 31 December 2022, payable net of
withholding tax on or about 30th June 2023, to shareholders on
the register of Members at the close of business on 14th April
2023.",3,,
3.,"I re-appoint Dorcas Muli who retires by rotation in accordance
with Article 100 of the Articles of Association of the Company
and being eligible, offers herself for re-election.",4,,
4.,"In accordance with the provisions of Section 769 of the
Companies Act, 2015, I appoint Directors: Sarah Mbwaya,
Felgona Omollo and Samson Korir being members of the
Board Audit Committee be elected to continue to serve as
members of the said Committee.",5,,
5.,"I approve the Directors’ remuneration report for the year ended
31st December 2022.",6,,
6.,"I approve the appointment of KPMG as the Auditors of the
Company authorize the Directors to fix the Auditors’
remuneration for the ensuing financial year.",7,,
,SPECIAL BUSINESS,,,
a),"I approve that the Articles of Association of the Company be
amended by deleting Article 116 and 117 in entirety.",a),,
