Type,Fuel trees(standing timber),Greenleaf
"Valuation
technique","Discounted cash flows: The
valuation model considers the
present value of the net cash flows
expected to be generated by the
plantation. The cash flow
projections include specific
estimates for 8 years. The expected
net cash flows are discounted using
a risk-adjusted discount rate.","The valuation model considers the
fair valueof the the un-harvested
green leaf as at December 2016.
Green leaf volumes were determined
by taking weighted average of a 14
day pluckingcycleusing January
2017 data. This was then valued using
the 2016 out-grower average price."
"Significant
unobservable
inputs","— Estimated future timber market
prices per cubic meter (6% of
current prices of KShs
1,947.8/M3)
— Estimated future costs (6.5%
inflation of current cost of
KShs 704/M3)
— Estimated yields per hectare
(750M3)
— Risk-adjusted annual discount
rate (17.5%)","— Estimated unharvested green leaf
volume as at year-end.
— Own out-grower rate. Inability to
obtain accurate green market
price."
"Inter-relationship
between key
unobservable
inputs and fair
value
measurement","The estimated fair value would
increase (decrease) if:
— Theestimated timber prices per
cubic meter were
higher/(lower);
— The estimated yields per
hectare were higher(lower);
— The estimated harvest,
replanting, weeding and
transportation costs were lower/
(higher); or
— The risk-adjusted discount rates
werelower/(higher).","The estimated fair value would
increase (decrease) if:
— Theout-growergreen leaf prices
per kilogramwere higher/(lower);
— The estimated unharvested
volumeswere higher/(lower);"
