Column,Column,Resolution,For,Against
,ORDINARY BUSINESS,,,
1.,"I adopt the balance sheet and the financial statements for the
year ended 31 December 2021 and the Reports of the Directors
and Auditors thereon.",2,,
2.,Re-election of Directors,,,
,"I re- appoint Sarah Mbwaya who retires by rotation in
accordance with Article 100 of the Articles of Association of
the Company and being eligible, offers herself for re-election.",4(a),,
,"I re- appoint Philip Sigey who retires by rotation in accordance
with Article100 of the Articles of Association of the Company
and being eligible, offers herself for re-election.",4(b),,
3.,"In accordance with the provisions of Section 769 of the
Companies Act, 2015, I appoint Directors: Sarah Mbwaya,
Felgona Omollo and Samson Korir being members of the
Board Audit Committee be elected to continue to serve as
members of the said Committee.",5,,
4.,"I approve the Directors remuneration report for the year ended
31st December 2021.",6,,
5.,"I approve the appointment of KPMG as the Auditors of the
Company authorize the Directors to fix the
remuneration for the ensuing financial year.",7,,
