CONDENSED STATEMENT OF CHANGES IN EQUITY,Column,Column,Column,Column
,"Share
Capital
Shs ‘000","Retained
Earnings &
reserves
Shs ‘000","Proposed
Dividend
Shs ‘000","Total
Shs ‘000"
Balance at 1 January 2019,"24,000","166,726","2,400","193,126"
Total recognized income for 2019,-,"(18,159)",-,"(18,159)"
Dividends,,,-,-
Final paid for 2018,,,"(2,400)","(2,400)"
Balance as at 30th June 2019,"24,000","148,567",-,"172,567"
Balance at 1 January 2020,"24,000","168,346","1,680","194,026"
Total recognized income for 2020,-,"(11,071)",-,"(11,071)"
Balance as at 30th June 2020,"24,000","157,275","1,680","182,955"
