Column,CONDENSED STATEMENT OF CHANGES IN EQUITY,Column,Column,Column,Column
,,"Share
Capital
KShs’000","Retained
Earnings
KShs’000","Proposed
Dividend
KShs’000","Total
KShs’000"
Balance at 1 January 2024,,"24,000","165,818",,"189,818"
Total recognized profit to June 2024,,,"(6,751)",,"(6,751)"
Balance as at 30th June 2024,,"24,000","159,067",,"183,067"
Balance at 1 January 2025,,"24,000","151,153",,"175,153"
Total recognized loss for 2025,,,"(22,207)",,"(22,207)"
Balance as at 30th June 2025,,"24,000","128,947",,"152,947"
