2017
KShs’000
"80,370"
"(111,921)"
"( 31,551)"
"( 3,658)"
409
"( 34,800)"
"( 4,082)"
"( 1,524)"
"(40,406)"
"8,841"
"( 31,565)"
"9,431"
"( 22,134)"
"6,000"
"( 1,800)"
"4,200"
"(17,934)"
( 9.22)
