Column,STATEMENT OF CHANGES IN EQUITY,Column,Column,Column,Column
,,"Share
Capital
KShs’000","Retained
Earnings
KShs’000","Proposed
Dividend
KShs’000","Total
KShs’000"
Balance at 1 January 2024,,"24,000","168,218",-,"192,218"
Total comprehensive Income for 2024,,-,"(14,665)",-,"(14,665)"
Final Dividend Paid- 2023,,,"(2,400)",,"(2,400)"
Balance as at 31 December 2024,,"24,000","151,153",-,"175,153"
Balance at 1 January 2025,,"24,000","151,153",-,"175,153"
Total comprehensive Income for 2025,,-,"(44,846)",-,"(44,846)"
Balance as at 31 December 2025,,"24,000","106,307",-,"130,307"
