New amendments or interpretation,"Effective for annual
periods beginning
on or after"
— IFRS 17 Insurance Contracts,1 January 2023
— Amendments to IFRS 17,1 January 2023
"— Disclosure of Accounting Policies
(Amendments to IAS 1 and IFRS
Practice Statement 2)",1 January 2023
"— Definition of Accounting Estimate
(Amendments to IAS 8)",1 January 2023
"— Deferred Tax Related to Assets and Liabilities
Arising from a Single Transaction – Amendments
to IAS 12 Income Taxes",1 January 2023
"— Initial Application of IFRS 17 and IFRS 9 –
Comparative Information (Amendments to IFRS
17)",1 January 2023
"— Classification of liabilities as current or non-
current (Amendments to IAS 1)",1 January 2024
"— Lease Liability in a Sale and Leaseback
(Amendments to IFRS 16)",1 January 2024
"— Non-current Liabilities with Covenants
(Amendments to IAS 1)",1 January 2024
