Type,Fuel trees (standing timber),Green leaf
"Valuation
technique","Discounted cash flows: The
valuation model considers the
present value of the net cash flows
expected to be generated by the
plantation. The cash flow
projections include specific
estimates for 8 years. The expected
net cash flows are discounted using
a risk-adjusted discount rate.","The valuation model considers
the fair value of the the un-
harvested green leaf as at
December 2021. Green leaf
volumes were determined by
taking weighted average of a 14
day plucking cycle using January
2022 data. This was then valued
using the 2021 out-grower
average price."
"Significant
unobservable
inputs","Estimated future timber market
prices per cubic meter (6.5%
inflation of current prices of
KShs 2,242/M3).
Estimated future costs (6.5%
inflation of current cost of KShs
1694/M3).
Estimated yields per hectare
(462M3).
Risk-adjusted annual discount
rate (12%).","Estimated unharvested green
leaf volume as at year-end.
Own out-grower rate.
Inability to obtain accurate
green market price."
"Inter-relationship
between key
unobservable
inputs and fair
value
measurement","The estimated fair value would
increase (decrease) if:
The estimated timber prices per
cubic meter were
higher/(lower);
The estimated yields per
hectare were higher(lower);
The estimated harvest,
replanting, weeding and
transportation costs were lower/
(higher); or
The risk-adjusted discount rates
were lower/(higher).","The estimated fair value would
increase (decrease) if:
The out-grower green leaf
prices per kilogram were
higher/(lower);
The estimated unharvested
volumes were higher/(lower);"
