Valuation of biological assets,Column
See accounting policy note 3 (d) and disclosure note 18 – Biological assets,
The key audit matter,How the matter was addressed in our audit
"The Company’s biological assets include unharvested
produce growing on tea bushes and standing timber
which are measured at fair value less costs to sell in
accordance with IAS 41 Agriculture.
Estimating the fair value of biological assets is a
complex process involving a number of judgments
and estimates regarding various inputs. Due to the
nature of the asset, the valuation technique includes
a discounted cash flow model that uses inputs
such as the forecast yields and estimated costs to
maturity which are present valued using a discount
rate to determine the fair value at the reporting date.
The yield and future costs estimates are based on
internal sources due to lack of relevant and reliable
observable inputs.
Valuation of biological assets is a key audit matter
because the determination of the fair value of
biological assets is a key area of estimation and is
subject to significant management judgment.","Our audit procedures in this area included:
— Evaluating the Company’s inputs and assumptions
used in calculating the estimated cash flows
(estimated yield and future costs) by comparing
them to historical performance and the
Company’s plans, as well as our understanding
of the industry and the economic environment in
which the Company operates;
— Evaluating the historical accuracy of the Company’s
assessment of the fair value of biological assets
by comparing previous forecasts for yields per
hectare, timber prices and future costs to harvest
to the actual outcomes in subsequent years and
industry forecasts;
— Evaluating the accuracy of the computations as
well as the appropriateness of the discount rates
used to discount cashflows; and
— Evaluating the adequacy of the financial
statement disclosures, including disclosures of
key assumptions, judgments and sensitivities in
accordance with IFRS 13 Fair Value Measurement."
Recognition of deferred tax asset,
See accounting policy Note 3(g) and disclosure Note 16 – Deferred tax asset,
The key audit matter,How the matter was addressed in our audit
"The Company has recognised deferred tax assets for
deductible temporary differences and unused tax
losses that it believes are utilisable.
The utilisation of recognised deferred tax assets is in
part, dependent on the company’s ability to generate
future taxable profits sufficient to utilise deductible
temporary differences and tax losses before they
expire.
We determined this to be a key audit matter due to
the inherent estimation and uncertainty in forecasting
the amount and timing of future taxable profits and
the reversal of temporary differences and utilisation
of tax losses.","Our audit procedures in this area included:
— Using our tax specialists to evaluate the tax
computations prepared by the Company to
assess the recognition and measurement of the
current and deferred tax assets and liabilities
and evaluate compliance with the relevant tax
legislation;
— Challenging directors’ assumptions used to
determine the manner in which the temporary
differences, including the recoverability of
the deferred tax assets, would be realised by
comparing forecast of future taxable profits to
evidence obtained in respect of other areas of
the audit, including cash flow forecasts, business
plans, and minutes of directors’ meetings as well
as our knowledge of the business;"
