Column,Risk,Description,Mitigating actions
9,IT and cyber security,"Failure of IT infrastructure and
external attacks to the IT envi-
ronment","• Establishment of disaster recovery plans
(DRPs) and business continuity plans (BCPs); and
• Robust processes to safeguard against IT
infrastructure threats."
10,Credit risk,"Inability to recover debts from our
customers in full","• Periodic review of the credit policy and
strict enforcement of credit terms; and
• Continuous monitoring of debtor performance
and follow up.
• Loss allowance provision in line with IFRS 9"
11,"Disruption in supply of
essential goods and
services","Possible disruption in the supply
of essential goods and services","• Use of multiple vendors for essential supplies
of goods and services; and
• Rigorous vetting process for vendors."
12,Fraud,"Misappropriation or misuse of as-
sets belong to the Group by staff
and external s
takeholders","• Strict enforcement of the Code of Business
Conduct;
• Fraud awareness programs focusing of
preventive measures; and
• Whistle blowing mechanisms."
